Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR21916202_1	SRR21916202_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84301.0	20.4 Mbp	0.0	243.0	57.0	5.881306271574477	243.0	243	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916202_2	SRR21916202_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84301.0	21.1 Mbp	0.0	251.0	55.0	11.96545711201528	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916203_1	SRR21916203_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90262.0	21.9 Mbp	0.0	243-251	57.0	5.613658017770491	243.00008863087456	243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916203_2	SRR21916203_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90262.0	22.6 Mbp	0.0	243-251	55.0	11.051162172342735	250.99991136912544	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916204_1	SRR21916204_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93980.0	23.5 Mbp	0.0	251.0	57.0	6.366248137901681	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR21916204_2	SRR21916204_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93980.0	22.9 Mbp	0.0	244.0	55.0	12.083422004681847	244.0	244	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR21916205_1	SRR21916205_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98609.0	23.7 Mbp	0.0	241.0	57.0	5.879787848979302	241.0	241	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916205_2	SRR21916205_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98609.0	24.7 Mbp	0.0	251.0	55.0	10.823555659219746	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916206_1	SRR21916206_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98699.0	23.8 Mbp	0.0	242.0	57.0	5.440784607746785	242.0	242	pass	pass		pass	fail	warn	pass	pass	fail	fail	pass
SRR21916206_2	SRR21916206_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98699.0	24.7 Mbp	0.0	251.0	55.0	11.320276801183397	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916207_1	SRR21916207_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95172.0	23.1 Mbp	0.0	243-251	57.0	6.378977010044971	243.00008405833648	243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916207_2	SRR21916207_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95172.0	23.8 Mbp	0.0	243-251	55.0	11.061026352288488	250.99991594166352	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916208_1	SRR21916208_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92237.0	22.5 Mbp	0.0	244.0	57.0	5.773171287010636	244.0	244	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916208_2	SRR21916208_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92237.0	23.1 Mbp	0.0	251.0	55.0	11.08774136192634	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
