Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR21916202_1	94.11869372842553	57.0	243.0	243	40.0	84301.0
SRR21916202_2	88.03454288798471	55.0	251.0	251	30.0	84301.0
SRR21916203_1	94.38634198222951	57.0	243.00008863087456	243	40.0	90262.0
SRR21916203_2	88.94883782765726	55.0	250.99991136912544	251	30.0	90262.0
SRR21916204_1	93.63375186209832	57.0	251.0	251	36.36363636363637	93980.0
SRR21916204_2	87.91657799531815	55.0	244.0	244	36.36363636363637	93980.0
SRR21916205_1	94.1202121510207	57.0	241.0	241	40.0	98609.0
SRR21916205_2	89.17644434078025	55.0	251.0	251	30.0	98609.0
SRR21916206_1	94.55921539225321	57.0	242.0	242	30.0	98699.0
SRR21916206_2	88.6797231988166	55.0	251.0	251	30.0	98699.0
SRR21916207_1	93.62102298995502	57.0	243.00008405833648	243	40.0	95172.0
SRR21916207_2	88.9389736477115	55.0	250.99991594166352	251	30.0	95172.0
SRR21916208_1	94.22682871298936	57.0	244.0	244	40.0	92237.0
SRR21916208_2	88.91225863807367	55.0	251.0	251	30.0	92237.0
SRR21916209_1	94.6355995083002	57.0	241.0	241	30.0	90299.0
SRR21916209_2	89.01759709409849	56.0	251.0	251	30.0	90299.0
SRR21916210_1	94.07148673046741	57.0	242.0	242	40.0	84743.0
SRR21916210_2	88.5111454633421	55.0	251.0	251	30.0	84743.0
SRR21916211_1	94.57536412564235	57.0	243.0	243	30.0	98661.0
SRR21916211_2	89.24093613484558	56.0	251.0	251	30.0	98661.0
SRR21916212_1	94.36063925143745	57.0	244.0	244	30.0	91482.0
SRR21916212_2	89.16617476662076	56.0	251.0	251	30.0	91482.0
SRR21916213_1	94.17577361095134	57.0	241.0	241	30.0	86930.0
SRR21916213_2	88.30438283676521	55.0	251.0	251	30.0	86930.0
