	SRR21916202_R1_filtered.fastq.gz	SRR21916203_R1_filtered.fastq.gz	SRR21916204_R1_filtered.fastq.gz	SRR21916205_R1_filtered.fastq.gz	SRR21916206_R1_filtered.fastq.gz	SRR21916207_R1_filtered.fastq.gz	SRR21916208_R1_filtered.fastq.gz	SRR21916209_R1_filtered.fastq.gz	SRR21916210_R1_filtered.fastq.gz	SRR21916211_R1_filtered.fastq.gz	SRR21916212_R1_filtered.fastq.gz	SRR21916213_R1_filtered.fastq.gz	SRR21916214_R1_filtered.fastq.gz	SRR21916215_R1_filtered.fastq.gz	SRR21916216_R1_filtered.fastq.gz	SRR21916217_R1_filtered.fastq.gz	SRR21916218_R1_filtered.fastq.gz	SRR21916219_R1_filtered.fastq.gz	SRR21916220_R1_filtered.fastq.gz	SRR21916221_R1_filtered.fastq.gz	SRR21916222_R1_filtered.fastq.gz	SRR21916223_R1_filtered.fastq.gz	SRR21916224_R1_filtered.fastq.gz	SRR21916225_R1_filtered.fastq.gz	SRR21916226_R1_filtered.fastq.gz	SRR21916227_R1_filtered.fastq.gz	SRR21916228_R1_filtered.fastq.gz	SRR21916229_R1_filtered.fastq.gz	SRR21916230_R1_filtered.fastq.gz	SRR21916231_R1_filtered.fastq.gz	SRR21916232_R1_filtered.fastq.gz	SRR21916233_R1_filtered.fastq.gz	SRR21916234_R1_filtered.fastq.gz	SRR21916235_R1_filtered.fastq.gz	SRR21916236_R1_filtered.fastq.gz	SRR21916237_R1_filtered.fastq.gz
ASV_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
